|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0|  aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|          double|            double|               double|
|    |       pix|       pix|              |                  |                |                  |                     |
|null|      null|      null|          null|              null|            null|              null|                 null|
    1 165.817001 290.996002  38.4114372748     0.835340139563    26.8823400102      1.16162370231         32.8524112117 
    2 382.912994  58.875999  104.637671901      1.92394449833    258.238640578      2.93782715888         56.7734937338 
    3 913.508972  28.245001   29.892384748     0.774535699439    44.6237140809     0.987791787598          21.089221712 
    4 932.661987     50.757  285.708227637      5.06439276707    503.528402505       5.6405150351         192.991064432 
    5 501.412994  57.442001  6561.88083519      129.239195499     970.95969781      13.2061965898         6383.69052085 
    6 319.796997      13.63  124.253606567      2.24166092823    244.969552645      2.73939337735         78.8157759083 
    7    301.431      6.767  176.267964439      3.23209620994    180.830190268      2.11769964627         142.558474329 
    8 987.448975  23.905001  353.231351131      6.27289837098    736.115868266       8.4832512007         217.983908472 
    9 422.341003  17.518999  104.939513423      1.95557229723    31.6866120452     0.839119111995         98.5019919024 
   10 511.863007     14.934  35.7256593216     0.823086976079    -26.220422974     0.725419260077         39.8768527757 
   11 400.260986  38.692001  193.475348669      3.84057444074     135.94016443      1.63361949543         167.974320427 
   12 388.869995     12.205   33.837959826     0.762927306648    77.9926338424      1.12427726265         18.9330514622 
   13      7.894      9.874  85.7670473264      1.63624826087    61.7798801292      1.09442032265         73.8267567844 
   14 908.734985      4.503  114.361313368      2.10540881646    91.1414960945      1.40446967577         97.0520416207 
   15 727.018005      5.768  113.603976935      2.12804649133    76.1244554208      1.29428915829         99.0406783392 
   16 433.649994      3.683  160.237215394       3.1344980255    17.4134110491     0.759409335798         156.409650626 
   17 196.813995 952.414978   36.332894394     0.905385285581    2.05994482461     0.671314552065         35.3128205935 
   18  611.72998 997.578003  69.6430141619      1.65216643234   -6.37918395254     0.519967283965         70.1660953378 
   19 311.919006 947.151978  238.582974966      5.00404087138    25.3230994649     0.841728122517         233.309067175 
   20 831.166016 943.843018  662.251229831      13.4499972367    126.101985078       1.8673449593         638.549182956 
