|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|         double|            double|               double|
|    |       pix|       pix|              |                  |               |                  |                     |
|null|      null|      null|          null|              null|           null|              null|                 null|
    1 165.817001 290.996002  86.2453832017      1.67511727204   104.062694884      2.41905469142         48.1881690728 
    2 382.912994  58.875999  226.336597588      4.06463403496   612.760162986      6.74439100722         2.24145226779 
    3 913.508972  28.245001  85.7353365116      1.87790456548   90.5887342643      1.65779685818         52.6057422664 
    4 932.661987     50.757  610.031702564      10.8000280696   1093.73371854      12.2616482015         210.037656926 
    5 501.412994  57.442001  9474.56210291      195.185932586   1115.14332798      15.3053024453         9066.73825725 
    6 319.796997      13.63  236.644456852      4.27250811335   461.314462839      5.10423210734         67.9351675847 
    7    301.431      6.767  256.110697792      4.81172722982   319.537019585      3.73058452999         139.251444916 
    8 987.448975  23.905001  729.256963946      12.9178922439   1435.10645172      16.1218316002         204.418033033 
    9 422.341003  17.518999  115.353362876      2.28413867725   20.5115096816       1.1944376453         107.852010763 
   10 511.863007     14.934  229.955942281      4.63014075711  -9.20028937667      1.27649313263         233.320619538 
   11 400.260986  38.692001  317.687643146      6.21065241995    269.55194626      3.17984310743         219.108645657 
   12 388.869995     12.205  80.5089344896      1.57986947944   140.290396773      2.07298040932         29.2027322412 
   13      7.894      9.874   124.88911442      2.36893109813   76.0841290736      1.59888118183         97.0640615019 
   14 908.734985      4.503  193.025134049      3.65450396893   137.735717242      2.25719368263         142.653214601 
   15 727.018005      5.768  192.706971869      3.58382782681   108.166795879      2.29030022213         153.148829376 
   16 433.649994      3.683   274.16215167       5.6325732696   5.62608741358      1.19332046842          272.10461113 
   17 196.813995 952.414978  50.1880751843      1.20168870269  -10.1676612092      1.25974542203         53.9065341408 
   18  611.72998 997.578003  84.3329753615      2.10810584273  -12.0345710665     0.815984816458          88.734189923 
   19 311.919006 947.151978  877.477754552      18.5460132957    21.109390298       1.4926864206         869.757748957 
   20 831.166016 943.843018  2198.75498257      45.6802770726    274.81675994       3.9665728815          2098.2505675 
