|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|        double|         double|               double|
|    |       pix|       pix|              |               |                     |
|null|      null|      null|          null|           null|                 null|
    1 165.817001 290.996002  86.2453832017   82.8529356588         64.3317906015 
    2 382.912994  58.875999  226.336597588   438.269636937         114.559621751 
    3 913.508972  28.245001  85.7353365116   67.1392821252         67.7947763111 
    4 932.661987     50.757  610.031702564    822.99632992         400.980619662 
    5 501.412994  57.442001  9474.56210291   932.055331224         9237.93659597 
    6 319.796997      13.63  236.644456852   339.614723154         149.811340697 
    7    301.431      6.767  256.110697792   240.364949273         194.371845454 
    8 987.448975  23.905001  729.256963946   1064.14058857         459.235085769 
    9 422.341003  17.518999  115.353362876   15.8717967467         110.375248361 
   10 511.863007     14.934  229.955942281  0.437194603267          228.88030495 
   11 400.260986  38.692001  317.687643146   207.752155633         264.194593447 
   12 388.869995     12.205  80.5089344896   98.8353105724         54.5543661088 
   13      7.894      9.874   124.88911442   63.4310284936         107.886147237 
   14 908.734985      4.503  193.025134049   102.404102703         166.168234028 
   15 727.018005      5.768  192.706971869   86.7177705517         169.816196323 
   16 433.649994      3.683   274.16215167   7.81887506762         271.220133896 
   17 196.813995 952.414978  50.1880751843  -7.77860169609         51.1897157326 
   18  611.72998 997.578003  84.3329753615  -7.21250888976         85.1914852843 
   19 311.919006 947.151978  877.477754552   21.2909102489         871.129474055 
   20 831.166016 943.843018  2198.75498257   234.491418075         2138.50119096 
   21 385.333008  940.77301  214.561915804   120.520562095         183.124459137 
   22 327.104004 943.197021  67.8696641379  -40.1850338189          77.064930981 
   23  71.880997 936.484985  63.1625613218   114.054180155         33.3600614712 
   24 172.621002 940.585022  34.6412113259   6.60803144153         32.0053426563 
   25 251.003998 911.796021  268.542964473   66.4947945299         250.765356198 
   26 260.304993 903.705994  219.133917421  -106.666805187         245.138402506 
   27 262.778015 934.447021  309.648780332   75.4519790929         289.606441936 
   28 276.240997 922.575012  199.632985851   13.3547468561         195.291280987 
   29 286.713989 904.396973  261.315062255  -4.46927582659         261.479974484 
   30 279.089996 889.682983   417.60020444   545.462730758         278.720579696 
   31    207.806 935.551025  29.3891989055  -24.3305803705         34.5758335681 
   32     56.473 928.791992  291.358131596   246.138559713         228.159482445 
   33  67.504997 918.517029  71.7632154828   99.8268203258         45.5579542656 
   34 719.161011 932.572998   84.634200816   26.4330334384         76.9857884316 
   35  26.243999  919.76001  193.457144411   80.3712132817         172.171029271 
   36 508.446991 914.599976  117.278254114  -13.2953538447         119.674747551 
   37 926.901978 910.025024  375.844130801   256.018402169         310.147467163 
   38  933.65802 905.864014  421.652051052   200.009729336         370.116592593 
   39 200.220993 907.244995   186.22027077    20.041818597          180.18780999 
   40 715.530029 901.721985  506.531156527   228.853866784           447.7027606 
   41  94.345001 909.239014  92.0451714915  -5.04651905513         92.3560336141 
   42 782.799011 897.671021   70.559145271   36.1549567521         60.4526465969 
   43 424.608002 894.346008  66.6347509675  -63.9446165859         81.8373789843 
   44  86.815002 893.476013    82.80015249   13.4604934529         78.4317107094 
   45    352.819  885.13501  598.806173033   344.375009134         510.769468522 
   46 213.264008 887.502014  466.864280247   88.2180468463         443.594175583 
   47 236.225006 889.455994  16.7357351339  -133.897871518         49.6253095829 
   48 549.117981 875.538025   211.51457175   35.9574939995         201.457999461 
   49 697.833008 869.340027    126.8702193    132.46526398         92.4126701075 
   50 623.103027  874.26001  118.904748503   24.2126229144         111.817743619 
   51 986.955017  872.64502  182.829550924  -18.2904532639         186.489002832 
   52 409.130005 872.182007  57.3051031142  -29.1206759474          63.702863177 
   53 863.997986 864.758972    196.9102924   46.1205848538         184.284089238 
   54 360.136993 863.380005   21.566327697  -104.095607457         46.9207124181 
   55  22.493999  858.83197   100.71723995   26.0284289255         93.1711275712 
   56 952.379028 853.974976  199.055955406   137.350320556         163.363270921 
   57 739.630981 849.505981  213.361396299   83.3422243619         191.324092185 
   58 912.883972 851.849976  102.060195697   64.7424952564         84.7256379045 
   59 168.548996 844.349976  3798.07779414   375.486941954          3702.1747639 
   60 313.308014 848.015015  51.8915036035  -6.63998360932         52.6052565171 
   61  319.30899 848.442993  54.4224143531  -29.3035962245         60.8664238884 
   62 850.997986 839.786987  110.137333724   77.1746554008         89.6594347002 
   63 831.627991 832.190002  85.6269060142   75.6626550019         65.5313004246 
   64 129.606003 821.567017  38.0872584168   -55.525528988         51.1612084829 
   65 996.536011 810.627991  430.194797666   74.0445742701          410.50830681 
   66 785.288025 802.635986  780.414608968   655.564091137         613.697010637 
   67 398.481995 809.271973   6.4591047312  -131.063455531         38.6320268418 
   68 680.726013 765.627014  660.859533349   1210.45348563         353.843974534 
   69 890.330017 784.578003  105.891120774   93.4552034167         81.2968560295 
   70 423.071991 774.906982  167.879654541  -6.65811934729         168.597992885 
   71 773.750977 769.986023   135.97882372   180.275976497         89.4328375846 
   72     13.676 765.432983  582.528186877   537.561100623         445.646406395 
   73      6.965 759.216003   5129.3145229   918.189317251         4896.19489209 
   74 351.941986  757.30603  7669.96240218   650.248533413         7504.58878684 
   75 512.768982     760.75  72.3450841702   -71.885327163          89.555437528 
   76 323.539001 786.325012   113.39099176  -105.648806831         139.138086644 
   77 964.760986  756.77301  135.954811368 -0.336910366168         135.074898355 
   78 589.461975  747.97699  141.271518964   57.1625632748         125.853467431 
   79 993.791992 751.007996  40.4403528886    5.0263220688         38.2044028357 
   80 859.164978 744.482971  1146.01634692   178.621834589         1099.88859321 
   81 525.679016 733.427979  545.466462986   120.670901211         513.990994651 
   82 518.491028  710.77002  564.584386868  -99.8465878978         588.864451582 
